id,cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
573,n.c.,,Manuscrit imprimé,,Arrêté et règlement relatifs à l'octroi municipal et de bienfaisance de la ville de Nancy.,Papier,Français,"Nancy, P. Barbier",,Arrêté et règlement relatifs à l'octroi municipal et de bienfaisance de la ville de Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
574,n.c.,,Manuscrit imprimé,Mulnier,"La société des sans-culottes de Nancy, à la convention. ",Papier,Français,"Nancy, Guivard",,"La société des sans-culottes de Nancy, à la convention. ",Correct,"Factum ""1801-1812. Nancy""",Archives départementales
575,n.c.,,Manuscrit imprimé,Faure,Discours prononcé à la société des amis de la constitution établie à Nancy.,Papier,Français,"Nancy, Veuve Bachot",21 mars 1791,Discours prononcé à la société des amis de la constitution établie à Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
576,n.c.,,Manuscrit imprimé,Faure,Lettre du citoyen Faure à la société populaire de Nancy.,Papier,Français,"Nancy, Veuve Bachot",10 Pluviose au III,Lettre du citoyen Faure à la société populaire de Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
577,n.c.,,Manuscrit imprimé,,Discours du citoyen Faure prononcé dans la société populaire de Nancy.,Papier,Français,"Nancy, Veuve Bachot",10 Pluviose au III,Discours du citoyen Faure prononcé dans la société populaire de Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
578,n.c.,,Manuscrit imprimé,Mouton,"La société populaire de Nancy réintégrée, en réponse à B. Faure.",Papier,Français,"Nancy, Guivard",,"La société populaire de Nancy réintégrée, en réponse à B. Faure.",Correct,"Factum ""1801-1812. Nancy""",Archives départementales
579,n.c.,,Manuscrit imprimé,Gérard,La vérité. Observations pour servir de réfutation aux deux rapports de Faure.,Papier,Français,,,La vérité. Observations pour servir de réfutation aux deux rapports de Faure.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
580,n.c.,,Manuscrit imprimé,,La société populaire révolutionnaire de Nancy aux sociétés populaire et révolutionnaires de la République. ,Papier,Français,"Paris, G. F. Galletti",,La société populaire révolutionnaire de Nancy aux sociétés populaire et révolutionnaires de la République. ,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
581,n.c.,,Manuscrit imprimé,,Règlement de la société de santé de Nancy.,Multicolore,Français,,,Règlement de la société de santé de Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
582,n.c.,,Livret,,Règlement pour la bibliothèque publique de la ville de Nancy,Papier bleu,Français,"Nancy, A. Paulet","Saturday, January 14, 1905",Règlement pour la bibliothèque publique de la ville de Nancy,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
583,n.c.,,Livret,,Règlement pour la bibliothèque publique de la ville de Nancy,Papier jaune,Français,Nancy,26 août 1876,Règlement pour la bibliothèque publique de la ville de Nancy,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
584,n.c.,,Manuscrit imprimé,,"Compliment d'une compagnie de dames patriotes de Nancy, adressé aux gardes nationales.",Papier cartonné,Français,,,"Compliment d'une compagnie de dames patriotes de Nancy, adressé aux gardes nationales.",Correct,"Factum ""1801-1812. Nancy""",Archives départementales
585,n.c.,,Manuscrit imprimé,Charlemont,"Discours du représentant du peuple genevois, en mission dans le département de la Meurthe, à la société populaire de Nancy.",Papier cartonné,Français,"Nancy, P. Barbier",,"Discours du représentant du peuple genevois, en mission dans le département de la Meurthe, à la société populaire de Nancy.",Correct,"Factum ""1801-1812. Nancy""",Archives départementales
586,n.c.,,Manuscrit imprimé,Collenel,Délibération de la société des amis de la constitution établie à Nancy.,Papier,Français,"Nancy, Veuve Bachot",13 septembre 1790,Délibération de la société des amis de la constitution établie à Nancy.,Correct,"Factum ""1801-1812. Nancy""",Archives départementales
587,n.c.,,Manuscrit imprimé,Harlaut,Messieurs.,Papier cartonné,Français,,"Thursday, November 24, 1904",Messieurs.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
588,n.c.,,Manuscrit imprimé,Grandjean,Arrêté du directoire du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",30 août 1793,Arrêté du directoire du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
589,n.c.,,Manuscrit imprimé,Collenel,Arrêté du directoire du département de la Meurthe.,Papier cartonné,Français,,13 avril 1792,Arrêté du directoire du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
590,n.c.,,Manuscrit imprimé,Perrin,"Le directoire de la Meurthe aux citoyens, pour les prévenir contre les rumeurs et les faux bruits.",Papier cartonné,Français,"Nancy, H. Haener",20 septembre 1790,"Le directoire de la Meurthe aux citoyens, pour les prévenir contre les rumeurs et les faux bruits.",Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
591,n.c.,,Manuscrit imprimé,Saladin,Proclamation du directoire de la Meurthe à l'occasion de quelques détenus malades.,Papier cartonné,Français,"Nancy, H. Haener",28 juin 1793,Proclamation du directoire de la Meurthe à l'occasion de quelques détenus malades.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
592,n.c.,,Manuscrit imprimé,Perrin,Mémoire sur la répartition de la contribution foncière.,Papier cartonné,Français,"Nancy, J. R. Vigneulle",11 Pluviose an V,Mémoire sur la répartition de la contribution foncière.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
593,n.c.,,Manuscrit imprimé,Collenel,Extrait du registre des délibérations du conseil du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",21 décembre 1792,Extrait du registre des délibérations du conseil du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
594,n.c.,,Manuscrit imprimé,Sonnini,Délibération du conseil du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",18 décembre 1790,Délibération du conseil du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
595,n.c.,,Manuscrit imprimé,Sonnini,Extrait des procès verbaux de l'Administration du Département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",24 décembre 1794,Extrait des procès verbaux de l'Administration du Département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
596,n.c.,,Manuscrit imprimé,Bicquilley,Extrait du procès verbal de la séance publique de l'administration de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",29 mars 1794,Extrait du procès verbal de la séance publique de l'administration de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
597,n.c.,,Manuscrit imprimé,Bigelot,Extrait du registre des délibératiions du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener","14 janvier , an II.",Extrait du registre des délibératiions du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
598,n.c.,,Manuscrit imprimé,Breton,"L'administration provisoire du département de la Meurthe, à ses concitoyens.",Papier cartonné,Français,"Nancy, H. Haener",5 janvier 1794,"L'administration provisoire du département de la Meurthe, à ses concitoyens.",Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
599,n.c.,,Manuscrit imprimé,Collenel,Délibération du conseil du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",11 novembre 1790,Délibération du conseil du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
600,n.c.,,Manuscrit imprimé,Saladin,Délibération du conseil du département de la Meurthe.,Papier,Français,"Nancy, H. Haener","Thursday, November 24, 1904",Délibération du conseil du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
601,n.c.,,Manuscrit imprimé,Harlaut,L'administration centrale de la Meurthe à celles municipales des cantons de son arrondissement.,Papier cartonné,Français,,3 vendémiaire an V,L'administration centrale de la Meurthe à celles municipales des cantons de son arrondissement.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
602,n.c.,,Manuscrit imprimé,Harlaut,Proclamation et arrêté du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",24 août 1793,Proclamation et arrêté du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
603,n.c.,,Manuscrit imprimé,Collenel,Extrait des registres des procès verbaux du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",25 septembre 1793,Extrait des registres des procès verbaux du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
604,n.c.,,Manuscrit imprimé,Collenel,Des administrateurs du directoire de la Meurthe aux citoyens de ce département et particulièrement à ceux des campagnes.,Papier cartonné,Français,"Nancy, H. Haener",27 septembre 1790,Des administrateurs du directoire de la Meurthe aux citoyens de ce département et particulièrement à ceux des campagnes.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
605,n.c.,,Manuscrit imprimé,Haillecourt,Arrêté du directoire du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",12 avril 1791,Arrêté du directoire du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
606,n.c.,,Manuscrit imprimé,Harlaut,Les administrateurs composant le directoire de la Meurthe à l'Assemblée Nationale.,Papier cartonné,Français,Imprimerie nationale,19 juin 1792,Les administrateurs composant le directoire de la Meurthe à l'Assemblée Nationale.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
607,n.c.,,Manuscrit imprimé,Mourer,Extrait des registres des procès verbaux du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",25 août 1793,Extrait des registres des procès verbaux du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
608,n.c.,,Manuscrit imprimé,Abbé de Dombasle,Directoire,Papier cartonné,Français,,17 mars 1798,Directoire,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
609,n.c.,,Manuscrit imprimé,Chatelin,Département de la Meurthe. Instruction et ordonnance des commissaires du roi.,Papier cartonné,Français,"Nancy, H. Haener",1er mai 1790,Département de la Meurthe. Instruction et ordonnance des commissaires du roi.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
610,n.c.,,Manuscrit imprimé,Lalande,Délibération du conseil du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",22 novembre 1790,Délibération du conseil du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
611,n.c.,,Manuscrit imprimé,Lacoste,Adresse du conseil de la meurthe à l'Assemblée Nationale.,Papier cartonné,Français,Imprimerie nationale,1er août 1792,Adresse du conseil de la meurthe à l'Assemblée Nationale.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
612,n.c.,,Manuscrit imprimé,Lelorrain,Le directoire destitué du département de la Meurthe à la convention Nationale.,Papier cartonné,Français,Imprimerie de Cellot,,Le directoire destitué du département de la Meurthe à la convention Nationale.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
613,n.c.,,Manuscrit imprimé,Jean Ignace Jacqueminot,Lettre du procureur général syndic de la Meurthe adressée à la députation de ce département.,Papier cartonné,Français,Imprimerie nationale,28 juin 1792,Lettre du procureur général syndic de la Meurthe adressée à la députation de ce département.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
614,n.c.,,Manuscrit imprimé,,Discours prononcé par le président de l'assemblée électorale du département de la Meurthe.,Papier cartonné,Français,"Nancy, C. S. Lamort",,Discours prononcé par le président de l'assemblée électorale du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
615,n.c.,,Manuscrit imprimé,Henry,Discours prononcé par le citoyen Bouteiller.,Papier cartonné,Français,"Nancy, C. S. Lamort",13 avril 1793,Discours prononcé par le citoyen Bouteiller.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
616,n.c.,,Manuscrit imprimé,Henry,Arrêté du directoire du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",22 mars 1791,Arrêté du directoire du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
617,n.c.,,Manuscrit imprimé,Abbé Barail,Extrait du registre des délibérations du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",19 avril 1792,Extrait du registre des délibérations du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
618,n.c.,,Manuscrit imprimé,Lallemand,Précis d'un procès dévolue à M. M. les administrateurs des directoires du département de la Meurthe et du district de Nancy.,Papier cartonné,Français,"nancy, Leseure",22 octobre 1790,Précis d'un procès dévolue à M. M. les administrateurs des directoires du département de la Meurthe et du district de Nancy.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
619,n.c.,,Manuscrit imprimé,Harlaut,Règlement de la société d'agriculture et des arts du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",15 février 1799,Règlement de la société d'agriculture et des arts du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
620,n.c.,,Manuscrit imprimé,,Extrait des registres des délibérations du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",25 août 1793,Extrait des registres des délibérations du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
621,n.c.,,Manuscrit imprimé,Villot,Compte de la gestion de l'administration centrale du département de la Meurthe.,Papier cartonné,Français,,4 mai 1797,Compte de la gestion de l'administration centrale du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
622,n.c.,,Manuscrit imprimé,Balland,L'administration centrale du département de la Meurthe.,Papier,Français,"Nancy, P. Barbier",8 prairial an VI,L'administration centrale du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
623,n.c.,,Manuscrit imprimé,,L'administration centrale du département de la Meurthe.,Papier,Français,,15 janvier 1798,L'administration centrale du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
624,n.c.,,Note imprimée,,Avis du directoire du département de la Meurthe aux citoyens.,Papier,Français,,,Avis du directoire du département de la Meurthe aux citoyens.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
625,n.c.,,Note imprimée,Saladin,Liste des noms des administrateurs du département de la Meurthe.,Papier,Français,,,Liste des noms des administrateurs du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
626,n.c.,,Manuscrit imprimé,Balland,Les administrateurs du département de la Meurthe.,Papier,Français,,"Thursday, December 01, 1904",Les administrateurs du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
627,n.c.,,Manuscrit imprimé,,Extrait des registres des délibérations du directoire de la Meurthe.,Papier cartonné,Français,"Nancy, Guivard",21 pluviose an VI,Extrait des registres des délibérations du directoire de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
628,n.c.,,Manuscrit imprimé,M. le Duc de Mouchy,Ouverture de la session du conseil général du département de la Meurthe.,Papier cartonné,Français,"Nancy, Guivard","Sunday, December 18, 1904",Ouverture de la session du conseil général du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
629,n.c.,,Manuscrit imprimé,,Discours de M. le Duc de Mouchy à la session de l'Assemblée électorale du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",22 août 1815,Discours de M. le Duc de Mouchy à la session de l'Assemblée électorale du département de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
630,n.c.,,Manuscrit imprimé,Mique,Discours prononcé par le président du collège électoral de la Meurthe.,Papier cartonné,Français,"Nancy, Leseure",,Discours prononcé par le président du collège électoral de la Meurthe.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
631,n.c.,,Manuscrit imprimé,Denis,Arrêt du préfet du département de la Meurthe sur l'organisation du service vétérinaire dans le département.,Papier cartonné,Français,,1er mars 1815,Arrêt du préfet du département de la Meurthe sur l'organisation du service vétérinaire dans le département.,Correct,"Factum ""Meurthe. 1790-97, 1814-15. Conseil général""",Archives départementales
632,n.c.,,Manuscrit imprimé,Sonnini,Acte du corps législatif.,Papier cartonné,Français,"Epinal, Haener",3 mai 1792,Acte du corps législatif.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
633,n.c.,,Manuscrit imprimé,,Ch. Sonnini aux citoyens des campagnes.,Papier cartonné,Français,"Nancy, Veuve Bachot",21 août 1791,Ch. Sonnini aux citoyens des campagnes.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
634,n.c.,,Manuscrit imprimé,"Louis, roi de France",Citoyens administrateurs.,Papier,Français,,27 octobre 1792,Citoyens administrateurs.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
635,n.c.,,Manuscrit imprimé,J. B. Limonier,Décret de l'assemblée nationale.,Papier cartonné,Français,"Nancy, H. Haener",8 août 1790,Décret de l'assemblée nationale.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
636,n.c.,,Manuscrit imprimé,,Justification de M. Limonier contre une inculpation.,Papier cartonné,Français,,2 octobre 1790,Justification de M. Limonier contre une inculpation.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
637,n.c.,,Manuscrit imprimé,Pitoy,Fête civique du décadi 30 brunaire an II.,Papier cartonné,Français,"Nancy, Veuve Bachot",décadi 30 brunaire an II,Fête civique du décadi 30 brunaire an II.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
638,n.c.,,Manuscrit imprimé,Collenel,Pétition.,Papier,Français,"Nancy, Guivard",23 mars 1793,Pétition.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
639,n.c.,,Manuscrit imprimé,,Adresse de l'Assemblée administrative du département de la Meurthe à l'Assemblée Nationale.,Papier cartonné,Français,"Nancy, H. Haener",14  août 1790,Adresse de l'Assemblée administrative du département de la Meurthe à l'Assemblée Nationale.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
640,n.c.,,Manuscrit imprimé,Marquis,District de Toul. Canton de Toul.,Papier cartonné,Français,,,District de Toul. Canton de Toul.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
641,n.c.,,Manuscrit imprimé,Marquis,Liste des notables du département de la Meurthe.,Papier cartonné,Français,,an X,Liste des notables du département de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
642,n.c.,,Manuscrit imprimé,,Liste des notables du département de la Meurthe.,Papier cartonné,Français,"Nancy, H. Haener",13 juin 1800,Liste des notables du département de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
643,n.c.,,Manuscrit imprimé,,Liste des électeurs formant le 1er collège du d'arrondissement.,Papier,Français,"Nancy, Bontoux","Monday, January 02, 1905",Liste des électeurs formant le 1er collège du d'arrondissement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
644,n.c.,,Manuscrit imprimé,,Liste des électeurs formant le 1er collège du d'arrondissement.,Papier bleu,Français,"Nancy, H. Haener","Saturday, December 31, 1904",Liste des électeurs formant le 1er collège du d'arrondissement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
645,n.c.,,Manuscrit imprimé,,Liste des électeurs formant le 1er collège du d'arrondissement.,Papier,Français,,"Wednesday, December 28, 1904",Liste des électeurs formant le 1er collège du d'arrondissement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
646,n.c.,,Manuscrit imprimé,,Liste des électeurs formant le 1er collège du d'arrondissement.,Papier,Français,"Nancy, A. Paulet","Tuesday, January 31, 1905",Liste des électeurs formant le 1er collège du d'arrondissement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
647,n.c.,,Manuscrit imprimé,,Liste des électeurs formant le 1er collège du d'arrondissement.,Papier,Français,"Nancy, A. Paulet","Wednesday, January 11, 1905",Liste des électeurs formant le 1er collège du d'arrondissement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
648,n.c.,,Manuscrit imprimé,Un citoyen français,Elections de 1850.,Papier bleu,Français,"Nancy, H. Haener","Tuesday, January 03, 1905",Elections de 1850.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
649,n.c.,,Manuscrit imprimé,Villot,Avis sur les élections.,Papier,Français,,,Avis sur les élections.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
650,n.c.,,Manuscrit imprimé,,Tableau des élections.,Papier,Français,"Nancy, P. Barbier",,Tableau des élections.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
651,n.c.,,Manuscrit imprimé,,Aux électeurs du collège d'arrondissement de Nancy.,Papier,Français,"Nancy, Hissette",,Aux électeurs du collège d'arrondissement de Nancy.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
652,n.c.,,Manuscrit imprimé,,Etat contenant les noms des électeurs de tous les cantons des neufs districts.,Papier,Français,"Nancy, H. Haener",,Etat contenant les noms des électeurs de tous les cantons des neufs districts.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
653,n.c.,,Manuscrit imprimé,,Tableau des électeurs de la Meurthe.,Rose,Français,,"Thursday, December 01, 1904",Tableaud es électeurs de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
654,n.c.,,Manuscrit imprimé,Préfet de la Meurthe,Collège électoral de département.,Papier,Français,"Nancy, Bontoux",,Collège électoral de département.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
655,n.c.,,Manuscrit imprimé,L. Arnault,Liste supplémentaire d'électeurs départementaux.,Papier,Français,,15 août 1835,Liste supplémentaire d'électeurs départementaux.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
656,n.c.,,Manuscrit imprimé,L. Arnault,Préfecture du département de la Meurthe.,Papier,Français,"Nancy, H. Haener",8 avril 1832,Préfecture du département de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
657,n.c.,,Manuscrit imprimé,Brandon,Réparation de la route de Nancy à Bayon.,Papier,Français,"Nancy, H. Haener",31 août 1831,Réparation de la route de Nancy à Bayon.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
658,n.c.,,Manuscrit imprimé,Bouvier-Dumolard,"Le ministre de l'intérieur, aux administrations centrales et municipales.",Papier,Français,"Nancy, Vigneulle",,"Le ministre de l'intérieur, aux administrations centrales et municipales.",Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
659,n.c.,,Manuscrit imprimé,Marquis,Lettre du préfet de la  Meurthe.,Papier,Français,,19 mars 1815,Lettre du préfet de la  Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
660,n.c.,,Manuscrit imprimé,Michou,Le préfet du département de la Meurthe aux maires des communes du même département.,Papier,Français,,8 brumaire an X,Le préfet du département de la Meurthe aux maires des communes du même département.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
661,n.c.,,Manuscrit imprimé,Mique,Le préfet provisoire du département de la Meurthe.,Papier,Français,,22 juillet 1815,Le préfet provisoire du département de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
662,n.c.,,Manuscrit imprimé,Pinodier,Le préfet du département de la Meurthe à nos administrés.,Papier,Français,"Nancy, H. Haener","Tuesday, December 20, 1904",Le préfet du département de la Meurthe à nos administrés.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
663,n.c.,,Manuscrit imprimé,Marquis,Préfecture du département de la Meurthe.,Papier,Français,,"Sunday, December 18, 1904",Préfecture du département de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
664,n.c.,,Manuscrit imprimé,Regnier,Le préfet de la Meurthe aux citoyens du même département.,Papier,Français,"Nancy, Guivard",27 pluviose an XII,Le préfet de la Meurthe aux citoyens du même département.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
665,n.c.,,Manuscrit imprimé,,Rapport du grand juge ministre de la Justice au gouvernement.,Papier,Français,"Nancy, Guivard",27 pluviose an XII,Rapport du grand juge ministre de la Justice au gouvernement.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
666,n.c.,,Manuscrit imprimé,,Arrêté du préfet de la Meurthe.,Papier,Français,,28 mars 1806,Arrêté du préfet de la Meurthe.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
667,n.c.,,Manuscrit imprimé,M. de Bouteiller,Discours par M. Fréville sur la communication faite au tribunal por l'ordre de sa majesté l'empereur.,Papier,Français,Baudouin,19 pluviose an 13,Discours par M. Fréville sur la communication faite au tribunal por l'ordre de sa majesté l'empereur.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
668,n.c.,,Manuscrit imprimé,Delpierre,"Discours de M. de Bouteiller à l'audience solennelle de cette cour, tenue le 24 juin 1816.",Papier,Français,"nancy, Leseure",24 juin 1816,"Discours de M. de Bouteiller à l'audience solennelle de cette cour, tenue le 24 juin 1816.",Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
669,n.c.,,Manuscrit imprimé,Desgouttes,Le délégué des consuls de la république dans la IIIe division militaire aux habitants du département de la moselle.,Papier,Français,"Metz, C. M. B. Antoine",6 décembre 1799,Le délégué des consuls de la république dans la IIIe division militaire aux habitants du département de la moselle.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
670,n.c.,,Manuscrit imprimé,,Département des Vosges. Anniversaire du 14 juillet. Fête de la concorde.,Papier,Français,,14 juillet 1800,Département des Vosges. Anniversaire du 14 juillet. Fête de la concorde.,Correct,"Factum ""1790-92, 1800-1855. Elections Meurthe. Préfecture""",Archives départementales
671,n.c.,,Manuscrit imprimé,,Découverte d'une fameuse conspiration et détail du grand combat entre la garnison de Nancy et l'armée de M. Bouillé.,Papier cartonné,Français,,"Thursday, November 24, 1904",Découverte d'une fameuse conspiration et détail du grand combat entre la garnison de Nancy et l'armée de M. Bouillé.,Correct,"Factum ""Révolution. 1789-1793. Emigrés, garde citoyenne, discours, guerre 1792, affaire de Nancy, fuite du roi""",Archives départementales
